,strain,id,flavors,positive,medical,Type,Rating,Flavor
1314,Sweet Dreams,1909,"Sweet, Lemon, Pine","Relaxed, Hungry, Happy, Talkative, Sleepy","Depression, Insomnia, Pain, Stress, Fatigue",hybrid,4.3,"Earthy,Skunk,Pungent"
1315,Sweet Harlem Diesel,1910,"Pear, Citrus, Diesel","Euphoric, Happy, Creative, Aroused","Depression, Pain, Lack of Appetite, Fatigue, Inflammation",hybrid,4.7,"Pear,Diesel,Sweet"
1316,Sweet Jane,1911,"Rose, Citrus, Sweet","Happy, Creative, Focused, Aroused","Depression, Stress, Lack of Appetite, Fatigue, Headaches",sativa,4.6,"Rose,Sweet,Citrus"
1317,Sweet Kush,1912,"Citrus, Flowery, Lime","Relaxed, Hungry, Euphoric, Energetic, Sleepy","Depression, Insomnia, Pain, Stress, Headache, Headaches",hybrid,4.4,"Citrus,Sweet,Flowery"
1318,Sweet Lafayette,1913,"Chestnut, Citrus, Earthy","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Headaches",indica,3.6,"Citrus,Earthy,Pine"
1319,Sweet Nina,1914,"Citrus, Flowery, Pungent","Relaxed, Euphoric, Happy, Focused","Depression, Stress, Fatigue",hybrid,3.9,"Diesel,Skunk,Tobacco"
1320,Sweet Pebbles,1915,"Sweet, Berry, Blueberry","Relaxed, Euphoric, Creative, Uplifted, Focused","Depression, Pain, Cramps, Lack of Appetite, Inflammation",hybrid,4.8,"Sweet,Berry,Citrus"
1321,Sweet Tooth,1917,"Sweet, Berry, Earthy","Relaxed, Hungry, Happy, Uplifted, Sleepy","Insomnia, Pain, Stress, Lack of Appetite, Headaches",indica,4.2,"Sweet,Flowery,Berry"
1322,Swiss Bliss,1919,"Sweet, Citrus, Earthy","Hungry, Euphoric, Happy, Creative, Giggly","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",hybrid,4.0,"Sweet,Citrus,Earthy"
1323,Swiss Gold,1920,"Citrus, Diesel, Berry","Relaxed, Hungry, Happy, Uplifted, Focused","Depression, Pain, Stress, Headaches, Inflammation",sativa,4.6,"Diesel,Citrus,Berry"
1324,Swiss Tsunami,1923,"Citrus, Earthy, Orange","Relaxed, Happy, Uplifted, Focused, Giggly","Depression, Insomnia, Pain, Stress, Headaches",sativa,4.8,"Earthy,Citrus,Orange"
1325,Tahoe Alien,1926,"Sweet, Earthy, Pine","Relaxed, Hungry, Happy, Talkative, Giggly","Depression, Pain, Stress, Nausea, Headaches",hybrid,4.5,"Pine,Diesel,Skunk"
1326,Tahoe Hydro Champagne,1928,"Citrus, Earthy, Flowery","Euphoric, Happy, Energetic, Talkative, Uplifted","Depression, Stress, Fatigue",hybrid,3.7,"Sweet,Citrus,Lime"
1328,Taliban Poison,1932,"Diesel, Pine, Skunk","Relaxed, Hungry, Happy, Giggly, Aroused","Depression, Pain, Cramps, Nausea, Headache, Muscle Spasms",indica,3.7,"Diesel,Skunk,Pine"
1329,Tangelo,1933,"Citrus, Earthy, Sweet","Euphoric, Happy, Energetic, Uplifted, Focused","Depression, Stress, Fatigue, Eye Pressure, Inflammation",hybrid,4.3,"Citrus,Sweet,Earthy"
1330,Tangelo Kush,1934,"Lemon, Sweet, Citrus","Relaxed, Talkative, Uplifted, Sleepy, Giggly","Depression, Insomnia, Pain",hybrid,4.0,"Peach,Lemon,Citrus"
1331,Tangerine,1936,"Orange, Citrus, Sweet","Relaxed, Happy, Creative, Energetic, Uplifted","Insomnia, Pain, Stress, Headache, Headaches, Inflammation",hybrid,4.2,"Citrus,Orange,Sweet"
1332,Tangerine Dream,1937,"Citrus, Orange, Sweet","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Headache, Headaches, Inflammation",hybrid,4.4,"Citrus,Orange,Sweet"
1333,Tangerine Haze,1938,"Citrus, Orange, Sweet","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Headache, Fatigue, Eye Pressure",hybrid,4.5,"Citrus,Orange,Sweet"
1334,Tangerine Kush,1939,"Citrus, Orange, Sweet","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Headache, Headaches",indica,4.1,"Citrus,Orange,Tropical"
1335,Tangerine Man,1940,"Orange, Citrus, Pungent","Hungry, Euphoric, Happy, Energetic, Uplifted","Depression, Insomnia, Pain, Stress, Fatigue",sativa,4.8,"Citrus,Orange,Pungent"
1336,Tangerine Power,1941,"Citrus, Orange, Sweet","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Nausea, Headaches",hybrid,4.4,"Citrus,Orange,Sweet"
1337,Tangerine Sunrise,1942,"Citrus, Woody, Earthy","Euphoric, Happy, Creative, Energetic, Tingly","Depression, Pain, Stress, Fatigue, Inflammation",sativa,4.8,"Citrus,Woody,Sage"
1338,Tangie,1943,"Citrus, Orange, Sweet","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Fatigue",sativa,4.5,"Citrus,Orange,Sweet"
1339,Tangie Dream,1944,"Citrus, Orange, Sweet","Relaxed, Hungry, Euphoric, Creative, Talkative","Insomnia, Eye Pressure",hybrid,4.4,"Citrus,Sweet,Orange"
1341,Tangilope,1946,"Sweet, Citrus, Orange","Relaxed, Happy, Talkative, Uplifted, Focused","Depression, Pain, Stress, Lack of Appetite, Fatigue",sativa,4.6,"Citrus,Orange,Tropical"
1342,Tango Kush,1947,"Mango, Tropical, Citrus","Euphoric, Creative, Energetic, Focused","Depression, Pain, Stress, Fatigue, Headaches",hybrid,4.3,"Mango,Sweet,Citrus"
1343,Tembo Kush,1949,"Woody, Sweet, Berry","Happy, Energetic, Uplifted, Sleepy, Focused",Fatigue,hybrid,4.5,"Sweet,Berry,Earthy"
1344,Tesla,1951,"Pepper, Strawberry, Sweet","Relaxed, Euphoric, Happy, Uplifted","Depression, Stress, Inflammation",hybrid,4.7,"Tropical,Pepper,Sweet"
1345,Tesla Tower,1952,"Berry, Blueberry, Flowery","Relaxed, Creative, Energetic, Uplifted, Tingly","Depression, Pain, Stress, Fatigue, Eye Pressure",sativa,4.8,"Pepper,Sweet,Berry"
1346,Thai,1953,"Earthy, Pungent, Flowery","Relaxed, Happy, Energetic, Uplifted, Focused","Depression, Pain, Stress, Headache, Fatigue, Headaches",sativa,4.2,"Earthy,Flowery,Sweet"
1347,Thai Girl,1954,"Earthy, Honey, Pungent","Relaxed, Happy, Creative, Energetic, Uplifted","Depression, Stress, Nausea, Fatigue, Inflammation",hybrid,4.0,"Tropical,Sweet,Citrus"
1348,Thai Haze,1955,"Pine, Pepper, Sweet","Euphoric, Happy, Creative, Energetic, Aroused","Depression, Pain, Stress, Lack of Appetite, Headache, Muscle Spasms",sativa,4.3,"Pine,Pepper,Sweet"
1349,Thai Lights,1956,"Earthy, Spicy/Herbal, Pine","Euphoric, Happy, Energetic, Uplifted, Focused","Depression, Stress, Lack of Appetite, Fatigue, Headaches",hybrid,4.7,"Earthy,Spicy/Herbal,Pine"
1350,The Black,1960,"Earthy, Sweet, Woody","Relaxed, Euphoric, Happy, Sleepy, Focused","Depression, Insomnia, Pain, Stress, Inflammation",indica,4.4,"Earthy,Sweet,Woody"
1351,The Blintz,1961,"Earthy, Lavender, Pungent","Happy, Creative, Energetic, Uplifted, Focused","Pain, Cramps, Lack of Appetite, Nausea, Fatigue",hybrid,5.0,"Lavender,Earthy,Pungent"
1352,The Blood,1962,"Earthy, Pungent, Tropical","Creative, Energetic, Uplifted, Focused, Aroused","Depression, Stress, Lack of Appetite, Fatigue, Headaches",sativa,4.6,"Earthy,Pungent,Tropical"
1353,The Brotherhood,1963,"Earthy, Sweet, Vanilla","Euphoric, Happy, Energetic, Aroused","Pain, Stress, Fatigue",hybrid,4.5,"Earthy,Coffee,Sweet"
1354,The Cough,1964,"Pungent, Pine, Citrus","Euphoric, Happy, Energetic, Uplifted, Giggly","Depression, Pain, Stress, Nausea, Fatigue",sativa,4.5,"Pungent,Pine,Citrus"
1355,The Doctor,1965,"Earthy, Citrus, Pungent","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Inflammation",indica,4.4,"Citrus,Sweet,Grapefruit"
1356,The Flav,1966,"Flowery, Berry, Sweet","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Stress, Lack of Appetite, Nausea, Headache, Headaches",hybrid,4.2,"Berry,Flowery,Diesel"
1357,The Grunk,1968,"Grape, Skunk, Pungent","Euphoric, Happy, Creative, Energetic","Depression, Insomnia, Pain, Lack of Appetite, Headache, Headaches",hybrid,4.6,"Grape,Skunk,Sweet"
1358,The One,1971,"Earthy, Pungent, Pine","Relaxed, Euphoric, Happy, Sleepy, Giggly","Depression, Pain, Stress, Nausea, Inflammation",hybrid,4.9,"Pungent,Pine,Diesel"
1360,The Sauce,1973,"Earthy, Citrus, Lime","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Pain, Stress, Lack of Appetite, Headaches",hybrid,4.8,"Earthy,Sweet,Citrus"
1361,The Sheriff,1974,"Earthy, Woody","Relaxed, Uplifted, Sleepy",Eye Pressure,hybrid,4.0,"Earthy,Woody"
1362,The Sister,1975,"Sweet, Diesel, Skunk","Relaxed, Creative, Uplifted, Tingly, Aroused","Depression, Insomnia, Pain, Lack of Appetite, Headaches",indica,4.3,"Sweet,Diesel,Citrus"
1363,The Third Dimension,1976,"Citrus, Sweet, Orange","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Muscle Spasms",hybrid,4.5,"Citrus,Earthy,Chemical"
1364,The Truth,1977,"Earthy, Berry, Woody","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Headaches",hybrid,4.6,"Earthy,Woody,Berry"
1365,The Void,1978,"Pungent, Cheese, Spicy/Herbal","Relaxed, Euphoric, Happy, Talkative, Uplifted","Depression, Insomnia, Pain, Stress, Headache, Fatigue",hybrid,4.5,"Sweet,Grape,Flowery"
1366,The White,1979,"Earthy, Pine, Sweet","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.6,"Earthy,Pine,Pungent"
1367,The Wife,1980,"Sweet, Tree Fruit, Plum","Relaxed, Happy, Creative, Uplifted, Aroused","Depression, Pain, Fatigue, Inflammation, Muscle Spasms",hybrid,4.9,"Lemon,Sweet,Tree,Fruit"
1368,Thelonious Skunk,1981,"Skunk, Citrus, Pungent","Relaxed, Euphoric, Happy, Uplifted","Depression, Insomnia, Pain, Stress",hybrid,4.8,"Skunk,Citrus,Spicy/Herbal"
1369,Think Different,1983,"Flowery, Tropical, Honey","Hungry, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Fatigue, Eye Pressure",hybrid,4.3,"Flowery,Sweet,Lemon"
1371,Thunderbird Rose,1986,"Rose, Sweet, Earthy","Euphoric, Happy, Creative, Uplifted, Focused","Depression, Pain, Stress, Fatigue, Headaches",sativa,4.8,"Rose,Sweet,Earthy"
1372,Thunderstruck,1987,"Sweet, Pine, Spicy/Herbal","Relaxed, Happy, Creative, Uplifted, Tingly","Depression, Pain, Stress, Eye Pressure, Inflammation",sativa,4.9,"Sweet,Earthy,Tropical"
1373,Tickle Kush,1988,"Apple, Berry, Apricot","Euphoric, Happy, Creative, Energetic, Giggly","Depression, Pain, Stress, Fatigue",hybrid,4.3,"Berry,Apple,Spicy/Herbal"
1374,Tiger Woods,1989,"Sweet, Flowery, Pungent","Euphoric, Happy, Tingly, Giggly","Depression, Stress, Lack of Appetite, Nausea",hybrid,4.1,"Sweet,Flowery,Pungent"
1376,Tillamook Strawberry,1992,"Strawberry, Sweet, Diesel","Hungry, Euphoric, Happy, Uplifted, Focused","Depression, Insomnia, Lack of Appetite",hybrid,4.7,"Strawberry,Sweet,Berry"
1377,Timewreck,1993,"Cheese, Sage, Sweet","Euphoric, Happy, Energetic, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Headache, Fatigue",sativa,4.4,"Citrus,Pepper,Grapefruit"
1378,Tina Danza,1994,"Flowery, Pine","Relaxed, Hungry, Happy, Creative","Depression, Insomnia, Stress, Lack of Appetite, Fatigue",hybrid,4.6,"Earthy,Pine,Lemon"
1379,Tora Bora,1999,"Earthy, Spicy/Herbal, Pine","Relaxed, Euphoric, Happy, Tingly, Sleepy","Insomnia, Pain, Stress, Inflammation, Muscle Spasms",indica,4.5,"Pine,Earthy,Berry"
1380,Toxic Punch,2000,"Pine, Berry, Citrus","Relaxed, Hungry, Happy, Energetic, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.1,"Pine,Berry,Citrus"
1381,Training Day,2001,"Earthy, Pine, Pungent","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms",indica,4.5,"Citrus,Lime,Chemical"
1382,Trainwreck,2002,"Earthy, Pine, Citrus","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Headaches",hybrid,4.2,"Earthy,Pine,Lemon"
1383,Trash,2005,"Earthy, Berry, Citrus","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Pain, Stress, Nausea, Inflammation",hybrid,4.7,"Pungent,Skunk,Diesel"
1384,Travel Joint,2006,"Lemon, Lime, Earthy","Happy, Creative, Energetic, Uplifted, Aroused","Depression, Stress, Nausea, Fatigue, Inflammation",hybrid,4.5,"Lime,Lemon,Earthy"
1385,Treasure Island,2007,"Earthy, Flowery, Lavender","Relaxed, Happy, Energetic, Focused","Depression, Pain, Stress, Headaches, Inflammation",hybrid,4.7,"Pepper,Spicy/Herbal,Flowery"
1386,Tres Dawg,2009,"Citrus, Pungent, Sweet","Relaxed, Euphoric, Happy, Energetic, Sleepy","Depression, Pain, Stress, Lack of Appetite, Fatigue",hybrid,4.5,"Citrus,Pungent,Diesel"
1387,Triangle Kush,2010,"Earthy, Pine, Sweet","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Headache, Headaches",indica,4.5,"Earthy,Pine,Sweet"
1388,Trident,2011,"Pungent, Earthy, Citrus","Relaxed, Happy, Uplifted, Tingly, Sleepy","Depression, Pain, Stress, Inflammation, Muscle Spasms",hybrid,4.3,"Citrus,Sweet,Pungent"
1389,Trifecta,2012,Skunk,"Relaxed, Hungry, Euphoric, Uplifted, Tingly","Depression, Insomnia, Pain, Stress, Nausea, Headache",hybrid,4.4,Skunk
1390,Trinity,2013,"Pungent, Earthy, Skunk","Relaxed, Euphoric, Happy, Focused, Aroused","Depression, Pain, Stress, Nausea, Headache, Headaches",sativa,4.3,"Earthy,Pungent,Skunk"
1391,Triple Cheese,2014,"Cheese, Pungent, Sweet","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Pain, Stress, Lack of Appetite, Fatigue",indica,4.5,"Earthy,Pungent,Cheese"
1392,Triple Diesel,2015,"Diesel, Sweet, Tropical","Relaxed, Euphoric, Happy, Creative, Uplifted","Pain, Lack of Appetite, Headaches, Eye Pressure, Muscle Spasms",sativa,4.2,"Diesel,Sweet,Earthy"
1393,Trix,2016,"Sweet, Berry, Grape","Happy, Energetic, Talkative, Uplifted","Depression, Stress, Fatigue, Spasticity",sativa,4.9,"Lime,Grapefruit,Tropical"
1394,Tropic Thunder,2017,"Tropical, Grapefruit, Sweet","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Fatigue, Headaches",hybrid,4.6,"Tropical,Sweet,Pineapple"
1395,Tropical Tang,2018,"Citrus, Apricot, Skunk","Relaxed, Euphoric, Happy, Focused","Depression, Pain, Stress, Headache, Fatigue, Headaches",hybrid,4.5,"Citrus,Apricot,Skunk"
1396,Tropicali,2019,"Tropical, Orange, Citrus","Relaxed, Hungry, Euphoric, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Headache, Headaches",hybrid,4.4,"Tropical,Orange,Sweet"
1397,Truffle Butter,2022,"Chestnut, Coffee, Sweet","Euphoric, Aroused","Insomnia, Pain, Stress, Fatigue, Inflammation",indica,4.5,"Sweet,Vanilla,Chestnut"
1398,Truth Serum,2023,"Spicy/Herbal, Citrus, Earthy","Relaxed, Happy, Energetic, Talkative, Giggly","Stress, Lack of Appetite",hybrid,4.3,"Spicy/Herbal,Pepper,Citrus"
1399,Tuna Kush,2024,"Skunk, Pungent, Sweet","Relaxed, Hungry, Happy, Uplifted, Sleepy","Depression, Stress, Lack of Appetite, Nausea, Fatigue",indica,4.5,"Skunk,Earthy,Pungent"
1400,Turbo Mind Warp,2025,"Spicy/Herbal, Earthy, Flowery","Hungry, Euphoric, Happy, Uplifted, Focused","Depression, Pain, Stress, Lack of Appetite, Headaches",hybrid,4.5,"Spicy/Herbal,Flowery,Earthy"
1401,Tutankhamon,2026,"Skunk, Pungent, Sweet","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Nausea, Inflammation",sativa,4.6,"Pungent,Skunk,Flowery"
1402,Tutti Frutti,2027,"Sweet, Tropical, Berry","Relaxed, Euphoric, Happy, Creative, Energetic","Depression, Pain, Stress, Headache, Fatigue, Eye Pressure",hybrid,4.2,"Berry,Sweet,Tropical"
1403,Twista,2028,"Sweet, Citrus, Earthy","Hungry, Happy, Creative, Energetic","Depression, Stress, Fatigue, Headaches, Eye Pressure",sativa,4.2,"Sweet,Citrus,Lime"
1404,Twisted Citrus,2029,"Citrus, Orange, Lemon","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Stress, Lack of Appetite, Headaches, Inflammation",sativa,4.5,"Citrus,Orange,Earthy"
1405,Tyson,2030,"Earthy, Pungent, Berry","Relaxed, Hungry, Euphoric, Sleepy","Insomnia, Pain, Stress, Lack of Appetite, Muscle Spasms",indica,4.8,"Earthy,Pungent,Sweet"
1406,U2 Kush,2031,"Lavender, Sweet, Woody","Hungry, Uplifted, Tingly, Sleepy","Depression, Insomnia, Pain, Stress, Nausea, Headache",indica,4.1,"Sweet,Woody,Flowery"
1407,Ultimate Trainwreck,2034,"Tropical, Sweet, Apple","Euphoric, Energetic, Talkative, Uplifted, Aroused","Depression, Pain, Stress, Nausea, Headache, Fatigue",sativa,4.4,"Tropical,Sweet,Spicy/Herbal"
1409,Ultra Sonja,2036,"Blue Cheese, Pungent, Cheese","Relaxed, Happy, Uplifted, Sleepy, Aroused","Depression, Stress, Lack of Appetite, Headache, Fatigue, Headaches",hybrid,4.6,"Pungent,Tree,Fruit,Sweet"
1410,Ultra Sour,2037,"Diesel, Lemon, Pine","Relaxed, Hungry, Happy, Creative, Uplifted","Depression, Stress, Lack of Appetite, Fatigue",sativa,4.8,"Diesel,Skunk,Lime"
1411,Urkle Train Haze,2039,"Sweet, Grape, Pine","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Pain, Stress, Lack of Appetite, Nausea",hybrid,4.9,"Grape,Sweet,Pine"
1412,Valentine X,2043,"Pungent, Citrus, Skunk","Relaxed, Hungry, Euphoric, Creative, Giggly","Depression, Pain, Stress, Fatigue, Inflammation",hybrid,4.4,"Citrus,Earthy,Pungent"
1413,Valley Ghash,2044,"Sweet, Berry, Tropical","Relaxed, Hungry, Euphoric, Happy","Depression, Insomnia, Stress, Nausea, Headaches",hybrid,4.4,"Sweet,Berry,Tropical"
1414,Valley Girl,2045,"Flowery, Earthy, Sweet","Relaxed, Hungry, Euphoric, Happy, Energetic","Depression, Pain, Stress, Lack of Appetite, Inflammation",hybrid,4.7,"Pine,Flowery,Earthy"
1415,Vanilla Kush,2046,"Vanilla, Sweet, Lavender","Relaxed, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite",indica,4.3,"Vanilla,Sweet,Flowery"
1416,Velvet Bud,2048,"Sweet, Citrus, Flowery","Euphoric, Creative, Energetic, Uplifted","Pain, Cramps, Lack of Appetite, Inflammation, Muscle Spasms",sativa,3.9,"Sweet,Citrus,Spicy/Herbal"
1417,Verde Electric,2053,"Pungent, Pine, Diesel","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Nausea, Headache, Inflammation",hybrid,4.2,"Woody,Earthy,Sweet"
1418,Versace,2054,"Flowery, Citrus, Grapefruit","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Pain, Stress, Headache, Fatigue, Headaches",hybrid,4.8,"Pungent,Berry,Diesel"
1419,Very Berry Haze,2055,"Berry, Earthy, Grape","Euphoric, Happy, Creative, Energetic, Focused","Depression, Pain, Stress, Nausea, Fatigue",sativa,4.0,"Berry,Pungent,Sweet"
1420,Violator Kush,2057,"Earthy, Woody, Spicy/Herbal","Relaxed, Euphoric, Happy, Sleepy, Focused","Depression, Insomnia, Pain, Stress, Headache, Headaches",indica,4.3,"Earthy,Spicy/Herbal,Woody"
1421,Violet Delight,2058,"Flowery, Violet, Sweet","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Nausea",hybrid,4.4,"Violet,Spicy/Herbal,Lavender"
1422,Viper,2059,"Citrus, Pungent, Minty","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Nausea",sativa,4.5,"Citrus,Pungent,Spicy/Herbal"
1423,Voodoo,2060,"Nutty, Spicy/Herbal, Citrus","Hungry, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Nausea, Inflammation",sativa,4.2,"Earthy,Pungent,Sweet"
1424,Vortex,2061,"Earthy, Mango, Lemon","Euphoric, Happy, Energetic, Talkative, Uplifted","Depression, Pain, Stress, Headache, Fatigue, Headaches",sativa,4.3,"Earthy,Lemon,Woody"
1425,Waldo,2065,"Earthy, Pungent, Skunk","Hungry, Euphoric, Creative, Tingly","Depression, Pain, Lack of Appetite, Nausea, Eye Pressure",hybrid,4.0,"Spicy/Herbal,Earthy,Pungent"
1426,Walker Kush,2066,"Earthy, Woody, Pine","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Nausea, Headache",hybrid,4.8,"Woody,Spicy/Herbal,Flowery"
1427,Walter White,2069,"Earthy, Citrus, Pungent","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Lack of Appetite, Headaches, Inflammation",hybrid,4.7,"Earthy,Pungent,Lemon"
1428,Wappa,2070,"Earthy, Flowery, Sweet","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Inflammation",hybrid,4.3,"Sweet,Flowery,Citrus"
1429,Warlock,2071,"Berry, Flowery, Pine","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Pain, Stress, Headaches, Inflammation",hybrid,3.9,"Earthy,Sweet,Flowery"
1430,Watermelon,2072,"Sweet, Berry, Tropical","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",indica,4.5,"Sweet,Berry,Tropical"
1431,Webster,2073,"Citrus, Earthy, Skunk","Relaxed, Happy, Talkative, Uplifted, Sleepy","Pain, Stress, Headaches, Eye Pressure, Inflammation",sativa,4.5,"Citrus,Spicy/Herbal,Sweet"
1432,Wedding Cake,2074,"Sweet, Earthy, Pungent","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",hybrid,4.7,"Sweet,Vanilla,Earthy"
1433,West Coast Dawg,2076,"Sweet, Tropical, Woody","Relaxed, Euphoric, Sleepy, Aroused","Pain, Stress",indica,4.8,"Sweet,Woody,Nutty"
1434,Wet Dream,2078,"Spicy/Herbal, Woody, Lemon","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Nausea, Headache",sativa,4.4,"Earthy,Spicy/Herbal,Woody"
1435,Whitaker Blues,2079,"Sweet, Apple, Pear","Relaxed, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Fatigue",indica,4.2,"Sweet,Apple,Pear"
1436,White 99,2080,"Pungent, Lemon, Earthy","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Stress, Fatigue, Headaches",hybrid,4.5,"Sweet,Pine,Citrus"
1437,White Bastard,2081,"Blueberry, Sweet, Pine","Relaxed, Euphoric, Happy, Sleepy, Focused","Pain, Cramps, Inflammation, Spasticity, Muscle Spasms",indica,4.4,"Sweet,Blueberry,Diesel"
1438,White Berry,2082,"Sweet, Earthy, Berry","Relaxed, Euphoric, Happy, Creative, Aroused","Depression, Pain, Stress, Nausea, Headache, Headaches",indica,4.1,"Berry,Earthy,Sweet"
1440,White Buffalo,2084,"Sweet, Berry, Spicy/Herbal","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Fatigue",sativa,4.5,"Sweet,Berry,Earthy"
1441,White Cheese,2086,"Cheese, Pungent, Earthy","Relaxed, Euphoric, Happy, Focused","Depression, Stress, Nausea, Headaches, Inflammation",hybrid,4.2,"Cheese,Pungent,Flowery"
